category_name,sort_order,milestone_name,description,typical_start_months,typical_end_months,flag_at_months,flag_severity,flag_message,source,source_url,slp_notes
Receptive Language,1,Startles to sound,"Reacts to loud sounds by startling, blinking, or crying",0,1,3,concern,"Your baby doesn't seem to react to loud sounds yet. This is worth mentioning at your next visit — it's one of the earliest signs of hearing we look for.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,Check hearing first before assuming language delay
Receptive Language,2,Turns toward voices,"Turns head or eyes toward familiar voices and sounds",2,4,5,concern,"Most babies turn toward familiar voices by 4 months. If your baby isn't doing this, let your pediatrician know — a hearing check is a good first step.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Receptive Language,3,Responds to name,Turns or looks when their name is called,6,9,12,concern,"Responding to name by 9 months is an important social-communication milestone. If this isn't happening consistently yet, mention it at the 12-month visit.",CDC,https://www.cdc.gov/ncbddd/actearly/milestones/index.html,Also a key autism screen item (M-CHAT)
Receptive Language,4,Understands 'no',Pauses or looks up when told 'no',9,12,15,watch,"Understanding simple words like 'no' usually happens around 9–12 months. Keep tracking — if it's not emerging by 15 months, bring it up with your pediatrician.",CDC,https://www.cdc.gov/ncbddd/actearly/milestones/index.html,
Receptive Language,5,Follows one-step directions without gesture,"Follows simple instructions like 'give me the ball' without you pointing",12,18,18,concern,"Following simple directions (without pointing) by 18 months is a key language milestone. If this isn't happening, an early speech-language evaluation can help identify any support needed.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Receptive Language,6,Points to body parts when named,"Points to eyes, nose, ears when asked",15,21,24,watch,"Most children can point to at least 1–2 body parts by 18 months. If this isn't emerging, it's worth tracking carefully through the 2-year visit.",CDC,https://www.cdc.gov/ncbddd/actearly/milestones/index.html,
Receptive Language,7,Understands two-step related directions,"Follows two-step directions like 'pick up the cup and give it to me'",24,30,30,concern,"Understanding two-step directions by 24 months is expected. If this is difficult, a speech-language evaluation is recommended.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Expressive Language,1,Cooing,Produces vowel sounds like 'ooh' and 'aah',1,3,4,watch,"Most babies start cooing by 2–3 months. If your baby isn't making any vowel sounds yet, it's worth noting at the next checkup.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Expressive Language,2,Laughs,Produces a clear laugh,3,5,6,watch,"Laughing usually emerges around 4 months. If your baby isn't laughing or vocalizing socially, let your pediatrician know.",CDC,https://www.cdc.gov/ncbddd/actearly/milestones/index.html,
Expressive Language,3,Babbling (consonant sounds),"Babbles with consonant sounds like 'ba', 'ma', 'da'",5,8,9,concern,"Babbling with consonant sounds should be emerging by 6–7 months. No babbling by 9 months is a red flag for both hearing and speech development — request a hearing test if not already done.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,No babbling by 9 months = refer for hearing eval + SLP
Expressive Language,4,First words,"Uses 1–2 words meaningfully (beyond 'mama' and 'dada' as labels)",10,14,16,concern,"Most children say their first word by 12 months. If no meaningful words have appeared by 16 months, an early speech evaluation is recommended — earlier is always better.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Expressive Language,5,Uses 'mama' and 'dada' specifically,"Says 'mama' or 'dada' referring to the correct parent",10,12,15,watch,"Using 'mama' and 'dada' as real labels (not just sounds) usually happens by 12 months. If this isn't happening by 15 months, mention it at the next visit.",CDC,https://www.cdc.gov/ncbddd/actearly/milestones/index.html,
Expressive Language,6,10+ words,Has a vocabulary of at least 10 words,16,20,18,concern,"A vocabulary of at least 10 words by 18 months is a key milestone. If your child has fewer than 10 words, a speech-language evaluation is recommended. Research shows early support leads to significantly better outcomes.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,This is a primary EI referral trigger
Expressive Language,7,50+ words,Has a vocabulary of at least 50 words,18,24,24,concern,"50 words by 24 months is a well-established milestone. If vocabulary is significantly below this, a speech-language evaluation is important.",ASHA,https://www.asha.org/public/speech/development/communicative-milestones/,
Expressive Language,8,Word combinations,Combines two words together (e.g. 'more milk' 'daddy go'),18,24,24,concern,"Combining two words by 24 months is expected. If your child isn't doing this yet, a speech evaluation is the right next step.",CDC,https://www.cdc.gov/ncbddd/actearly/milestones/index.html,
